accession	Domain	Phylum	Class	Order	Family	Genus	Species
RS_GCF_001639275.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A oralis
RS_GCF_002156705.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobaculum	s__Natrarchaeobaculum aegyptiacum
RS_GCF_002214545.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus thioreducens
RS_GCF_002252585.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A smithii_A
RS_GCF_002727125.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum persicum
RS_GCF_002906575.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
RS_GCF_003439925.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus halophilus
RS_GCF_004015825.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halovenus	s__Halovenus sp004015825
RS_GCF_004681185.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula sp004681185
RS_GCF_005239135.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas salsuginis
RS_GCF_012027355.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus sp012027355
RS_GCF_013377755.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanofollaceae	g__Methanofollis	s__Methanofollis tationis
RS_GCF_900103415.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A millerae
RS_GCF_900104065.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronobacterium_A	s__Natronobacterium_A texcoconense
RS_GCF_900113245.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halopelagius	s__Halopelagius inordinatus
RS_GCF_900215215.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalophilus	s__Methanohalophilus euhalobius
GB_GCA_000270325.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Caldarchaeales	f__Caldarchaeaceae	g__Caldarchaeum	s__Caldarchaeum subterraneum_A
GB_GCA_000496175.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp000496175
GB_GCA_001443365.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__CSP1-1	s__CSP1-1 sp001443365
GB_GCA_001714685.2	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina sp001714685
GB_GCA_002010075.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia_A	o__Methanosarcinales_A	f__Methermicoccaceae	g__JdFR-19	s__JdFR-19 sp002010075
GB_GCA_002067095.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanolinea	s__Methanolinea sp002067095
GB_GCA_002494885.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_D	s__Methanobacterium_D sp002494885
GB_GCA_002497075.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__UBA472	s__UBA472 sp002497075
GB_GCA_002498315.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanofollaceae	g__Methanofollis	s__Methanofollis sp002498315
GB_GCA_002878135.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__ARK-15	f__ARK-15	g__ARK-15	s__ARK-15 sp002878135
GB_GCA_003558085.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__UBA588	s__UBA588 sp003558085
GB_GCA_003560595.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__PWKY01	f__PWKY01	g__PWKY01	s__PWKY01 sp003560595
GB_GCA_009779045.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__PALSA-986	s__PALSA-986 sp009779045
GB_GCA_011333845.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Conexivisphaerales	f__DTJL01	g__DTJL01	s__DTJL01 sp011333845
GB_GCA_011337925.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Caldarchaeales	f__NZ13-MGT	g__JGI-0000106-J15	s__JGI-0000106-J15 sp011337925
GB_GCA_011357905.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus ahangari_A
GB_GCA_011372955.1	d__Archaea	p__Thermoproteota	c__Methanomethylicia	o__B29-G17	f__DSZF01	g__DSZF01	s__DSZF01 sp011372955
GB_GCA_011373895.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__DRVV01	s__DRVV01 sp011373895
GB_GCA_011523285.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__WTHC01	s__WTHC01 sp011523285
GB_GCA_012840175.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae_A	g__Methanothermobacter_A	s__Methanothermobacter_A sp012840175
GB_GCA_013329415.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__MTP4	s__MTP4 sp9310u
GB_GCA_013388945.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrososphaera	s__Nitrososphaera sp013388945
GB_GCA_013415695.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__JAAEEP01	g__JAAEEP01	s__JAAEEP01 sp013415695
GB_GCA_013821245.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrosocosmicus	s__Nitrosocosmicus sp013821245
GB_GCA_014647155.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum nitratireducens
GB_GCA_014647235.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
GB_GCA_014647455.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
GB_GCA_902386255.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386255
RS_GCF_000007345.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina acetivorans
RS_GCF_000015765.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	s__Methanocorpusculum labreanum
RS_GCF_000063445.1	d__Archaea	p__Halobacteriota	c__Methanocellia	o__Methanocellales	f__Methanocellaceae	g__Methanocella_A	s__Methanocella_A arvoryzae
RS_GCF_000092465.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Desulfurococcaceae	g__Staphylothermus	s__Staphylothermus hellenicus
RS_GCF_000145295.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter marburgensis
RS_GCF_000195895.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina barkeri_B
RS_GCF_000220175.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosarchaeum	s__Nitrosarchaeum koreense
RS_GCF_000224475.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
RS_GCF_000302455.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium formicicum_A
RS_GCF_000317795.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Acidilobaceae	g__Caldisphaera	s__Caldisphaera lagunensis
RS_GCF_000327485.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula formicica
RS_GCF_000327505.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Aciduliprofundales	f__Aciduliprofundaceae	g__Aciduliprofundum	s__Aciduliprofundum sp000327505
RS_GCF_000336995.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum aidingense
RS_GCF_000337775.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula vallismortis
RS_GCF_000379085.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium katesii
RS_GCF_000455345.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger_A	s__Halopiger_A goleimassiliensis
RS_GCF_000723185.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotenuis	s__Nitrosotenuis uzonensis
RS_GCF_000739065.1	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus bathoardescens
RS_GCF_000970085.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina siciliae
RS_GCF_000993805.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermofilales	f__Thermofilaceae	g__Thermofilum_A	s__Thermofilum_A uzonense
RS_GCF_001282785.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sediminis
RS_GCF_001304615.2	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina flavescens
RS_GCF_001469865.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax sp001469865
RS_GCF_001481685.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Ignicoccaceae	g__Ignicoccus	s__Ignicoccus islandicus
RS_GCF_001485575.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula sp001485575
RS_GCF_002214385.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus gorgonarius
RS_GCF_002214485.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus pacificus
RS_GCF_002286985.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp002286985
RS_GCF_002572525.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp002572525
RS_GCF_002952775.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halalkaliarchaeum	s__Halalkaliarchaeum desulfuricum
RS_GCF_003201765.2	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus sulfidivorans
RS_GCF_003201835.2	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus_B	s__Acidianus_B brierleyi
RS_GCF_003205235.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Thermoplasma	s__Thermoplasma sp003205235
RS_GCF_003336245.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinus
RS_GCF_003666015.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003666015
RS_GCF_004099695.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina sp004099695
RS_GCF_007671685.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum salsamenti
RS_GCF_008122205.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronococcus	s__Natronococcus sp008122205
RS_GCF_009184545.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__CBA1134	s__CBA1134 sp009184545
RS_GCF_009674625.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax sp009674625
RS_GCF_009729055.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Sulfurisphaera	s__Sulfurisphaera ohwakuensis
RS_GCF_009741925.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas sp009741925
RS_GCF_013456555.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp013456555
RS_GCF_014212355.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus sp014212355
RS_GCF_900095295.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_C	s__Methanobacterium_C congolense
RS_GCF_900102305.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis regularis
RS_GCF_900112175.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum rufum
RS_GCF_900696045.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrosocosmicus	s__Nitrosocosmicus franklandus
RS_GCF_900769095.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A sp900769095
GB_GCA_000415985.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi_B
GB_GCA_000495735.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Acidilobaceae	g__Acidilobus	s__Acidilobus sp000495735
GB_GCA_001437625.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp001437625
GB_GCA_001602645.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A sp001602645
GB_GCA_002067795.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__MVQI01	s__MVQI01 sp002067795
GB_GCA_002490245.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__B24-2	g__B24-2	s__B24-2 sp002490245
GB_GCA_002498065.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoculleaceae	g__Methanoculleus	s__Methanoculleus sp002498065
GB_GCA_002498845.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__UBA509	s__UBA509 sp002498845
GB_GCA_002499445.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina sp002499445
GB_GCA_002505765.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_D	s__Methanobacterium_D sp002505765
GB_GCA_002897955.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__BMS3B	g__BMS3B	s__BMS3B sp002897955
GB_GCA_004376975.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__SOJA01	s__SOJA01 sp004376975
GB_GCA_004553595.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter ruminantium_A
GB_GCA_005877205.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotalea	s__Nitrosotalea sp005877205
GB_GCA_009377575.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TH5896	s__TH5896 sp009377575
GB_GCA_011355205.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__40CM-2-53-6	f__RBG-13-38-9	g__DTMT01	s__DTMT01 sp011355205
GB_GCA_011362635.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__RBG-16-68-12	f__RBG-16-68-12	g__RBG-16-68-12	s__RBG-16-68-12 sp011362635
GB_GCA_011364865.1	d__Archaea	p__Thermoproteota	c__Methanomethylicia	o__Nezhaarchaeales	f__DTCF01	g__DTCF01	s__DTCF01 sp011364865
GB_GCA_011366425.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__NBVN01	g__DTCV01	s__DTCV01 sp011366425
GB_GCA_014075315.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp014075315
RS_GCF_000014945.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_B	s__Methanothrix_B thermoacetophila
RS_GCF_000021965.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanosphaerulaceae	g__Methanosphaerula	s__Methanosphaerula palustris
RS_GCF_000022485.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
RS_GCF_000023965.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium mukohataei
RS_GCF_000191585.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_B	s__Methanobacterium_B lacus
RS_GCF_000214725.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_C	s__Methanobacterium_C paludis
RS_GCF_000258425.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Fervidicoccaceae	g__Fervidicoccus	s__Fervidicoccus fontis
RS_GCF_000263735.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus sp000263735
RS_GCF_000336675.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halococcaceae	g__Halococcus	s__Halococcus hamelinensis
RS_GCF_000336695.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halococcaceae	g__Halococcus	s__Halococcus morrhuae
RS_GCF_000336755.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax elongans
RS_GCF_000376445.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Haladaptatus	s__Haladaptatus paucihalophilus
RS_GCF_000430485.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_A	s__Thermococcus_A sp000430485
RS_GCF_000730285.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrososphaera	s__Nitrososphaera evergladensis
RS_GCF_000956175.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus adriaticus
RS_GCF_000970025.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina barkeri
RS_GCF_001006045.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus ahangari
RS_GCF_001469955.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus marisrubri
RS_GCF_001571405.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoculleaceae	g__Methanoculleus	s__Methanoculleus thermophilus
RS_GCF_001663375.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermocladiaceae	g__Caldivirga	s__Caldivirga sp001663375
RS_GCF_001719125.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus sp001719125
RS_GCF_001889405.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalophilus	s__Methanohalophilus halophilus
RS_GCF_003058365.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__HARCEL1	s__HARCEL1 sp003058365
RS_GCF_003175215.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp003175215
RS_GCF_003369835.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus rarus
RS_GCF_003430825.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobaculum	s__Natrarchaeobaculum sulfurireducens
RS_GCF_003841485.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobius	s__Natrarchaeobius halalkaliphilus
RS_GCF_005406125.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula sp005406125
RS_GCF_006740685.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp006740685
RS_GCF_007421925.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__QS-4-70-19	s__QS-4-70-19 sp007421925
RS_GCF_013402815.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp013402815
RS_GCF_013415905.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex pelagicum
RS_GCF_900110455.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema salifodinae
RS_GCF_900156425.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Haladaptatus	s__Haladaptatus litoreus
RS_GCF_900774055.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanococcoides	s__Methanococcoides sp900774055
RS_GCF_900880625.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus rudnickae
GB_GCA_000145985.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Ignisphaeraceae	g__Ignisphaera	s__Ignisphaera aggregans
GB_GCA_000690595.2	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema mahii
GB_GCA_001412335.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__SD8	s__SD8 sp001412335
GB_GCA_001543015.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp001543015
GB_GCA_001766815.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__Syntropharchaeales	f__Syntropharchaeaceae	g__Syntropharchaeum_A	s__Syntropharchaeum_A caldarius
GB_GCA_001896725.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanomethylovorans	s__Methanomethylovorans sp001896725
GB_GCA_001940665.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia_A	o__Odinarchaeales	f__LCB-4	g__LCB-4	s__LCB-4 sp001940665
GB_GCA_002010305.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__JdFR-42	g__JdFR-42	s__JdFR-42 sp002010305
GB_GCA_002067365.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp002067365
GB_GCA_002067705.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp002067705
